Name,skills
software engineer internship,"['java', 'scala', 'merchant', 'c#', 'ruby', 'python']"
software engineer intern (summer 2020),"['Go', 'java', 'c++', 'gin', 'python']"
software engineer summer intern - java,"['scripting', 'java', 'sql', 'perl', 'c++', 'prototyping', 'python']"
"software engineer - backend, c++","['java', 'c++', 'c', 'gin', 'javascript', 'python']"
ml infrastructure software engineer,"['scripting', 'java', 'scala', 'oop', 'machine learning', 'python']"
kinesso- software engineer,"['scripting', 'java', 'perl', 'php', 'gin', 'hibernate', 'python']"
software engineer (java),"['css', 'java', 'scala', 'ai', 'html', 'javascript']"
mobile software developer intern,"['java', 'scala', 'mysql', 'android', 'Kotlin', 'objective-c', 'ios', 'ruby', 'swift', 'rails', 'rest']"
software engineer,"['Go', 'c++', 'c', 'gin', 'python']"
software engineer,"['java', 'Kotlin', 'ruby', 'swift', 'rails', 'rest', 'javascript']"
software engineer - full stack,"['pytest', 'java', 'sql', 'c++', 'ruby', 'gin', 'javascript', 'python']"
"software engineer, numerical algorithms","['Go', 'java', 'Kotlin', 'ai', 'c++', 'c', 'python']"
frontend engineer,"['React', 'ply', 'js', 'Angular', 'javascript', 'Vue.js']"
software engineer - security,"['java', 'ai', 'objective-c', 'mobile', 'swift', 'javascript', 'python']"
"paid summer intern - graduate, software engineer (ml focused...","['scripting', 'java', 'scala', 'c++', 'python']"
software engineer,"['React', 'scala', 'ruby', 'gin', 'javascript', 'python']"
software engineer,"['android', 'mobile', 'ios', 'css/js/html', 'gin', 'python']"
"software engineer, care applications (new college grad)","['linux', 'java', 'scala', 'aws', 'airflow', 'sql', 'machine learning', 'spark', 'shell']"
software engineer 3,"['java', 'data analytics', 'c++', 'rest', 'javascript', 'python']"
jr. backend engineer,"['java', 'mysql', 'typescript', 'javascript', 'python']"
software engineer,"['java', 'aws', 'GCP', 'sql', 'microservices']"
software engineer,"['js', 'data architecture', 'Git', 'automation', 'visual', 'plan', 'ply', 'database', 'gin', 'Go', 'sql', 'mobile', 'html', 'scripting', 'css', 'java', 'Jenkins', 'ai', 'algorithms', 'javascript']"
"software engineer, frontend - university graduate","['scripting', 'React', 'css', 'Go', 'visual', 'ply', 'data architecture', 'ai', 'Angular', 'algorithms', 'rest', 'gin', 'javascript', 'python']"
software engineer,"['data architecture', 'JQuery', 'ios', 'Azure', 'c', '.net', 'android', 'visual', 'Object-oriented programming', 'c++', 'database', 'MVC', 'gin', 'sql', '.Net Framework', 'mobile', 'Net', 'microsoft sql', 'Microsoft Azure', 'scripting', 'css', 'Xamarin', 'ai', 'c#', 'algorithms', 'javascript']"
associate gameplay engineer,"['scripting', 'plan', 'ply', 'redis', 'data architecture', 'ai', 'perl', 'algorithms', 'c++', 'c', 'gin', 'python']"
machine learning software engineer,"['mysql', 'data architecture', 'c', 'scala', 'plan', 'ply', 'oracle', 'c++', 'machine learning', 'rest', 'gin', 'database', 'Go', 'Hadoop', 'apache', 'Net', 'java', 'redis', 'ai', 'algorithms', 'nosql']"
"software engineer, intern (health algorithms team)","['java', 'ply', 'aws', 'ai', 'rest', 'database', 'python']"
entry-level software developer,"['scripting', '.net', 'ply', 'Object-oriented programming', 'ai', '.Net Framework', 'mobile', 'c#', 'c++', 'c', 'gin', 'javascript']"
software engineer,"['React', 'docker', 'ply', 'aws', 'Object-oriented programming', 'ai', 'mobile', 'ruby', 'gin', 'database', 'javascript']"
summer 2020 intern - software engineer (quip),"['scripting', 'React', 'java', 'ply', 'data architecture', 'sql', 'objective-c', 'ai', 'algorithms', 'c++', 'Net', 'gin', 'c', 'database', 'javascript', 'python']"
frontend software engineer,"['scripting', 'React', 'Go', 'postgresql', 'ai', 'django', 'Angular', 'gin', 'rest', 'database', 'javascript', 'python']"
software engineer,"['Go', 'scala', 'ply', 'database', 'aws', 'oop', 'microservices', 'cryptography', 'gin', 'automation', 'python']"
software engineer part time intern - undergrad,"['scripting', 'Go', 'oop', 'python', 'rest', 'linux', 'shell']"
new graduate: software engineering,"['React', 'ply', 'data architecture', 'algorithms', 'gin', 'javascript']"
software engineering intern,"['java', 'data architecture', 'ai', 'algorithms', 'gin', 'javascript']"
software engineer - movement,"['mysql', 'c', 'React', 'visual', 'scala', 'plan', 'oracle', 'Object-oriented programming', 'c++', 'database', 'gin', 'Go', 'Hadoop', 'oop', 'sql', 'apache', 'spark', 'scripting', 'java', 'ai', 'nosql', 'javascript']"
software engineer,"['java', 'oop', 'Object-oriented programming', 'ai', 'Net']"
software engineer - cce - einstein,"['Go', 'java', 'scala', 'ply', 'salesforce', 'data architecture', 'ai', 'problem solving', 'algorithms', 'machine learning', 'gin']"
software engineer - backend,"['Go', 'oop', 'ply', 'typescript', 'Net', 'python']"
software engineer,"['Go', 'gin', 'data architecture', 'sql', 'ai', 'algorithms', 'c++', 'machine learning', 'nosql', 'c', 'database', 'Net', 'python']"
software engineer,"['aws', 'data architecture', 'python', 'React', 'visual', 'plan', 'Node.js', 'perl', 'php', 'database', 'gin', 'linux', 'sql', 'html', 'scripting', 'css', 'java', 'ai', 'algorithms', 'nosql', 'javascript']"
"software engineer - backend, c++","['scripting', 'Hadoop', 'java', 'spark', 'redis', 'ai', 'c++', 'c', 'gin', 'javascript', 'python']"
embedded software engineer,"['Go', 'android', 'mobile', 'schedule', 'c++', 'c', 'gin', 'linux', 'python']"
software engineer,"['scala', 'typescript', 'mobile', 'node', 'gin']"
software intern - platform or web,"['aws', 'GCP', 'typescript', 'javascript', 'python']"
"software engineer, backend - content services","['java', 'docker', 'scala', 'Kotlin', 'kubernetes', 'node', 'python']"
software development engineer - music search,"['java', 'perl', 'c++', 'ruby', 'python']"
"software engineer, platform (new college grad)","['java', 'docker', 'scala', 'aws', 'kubernetes', 'ruby', 'terraform']"
full stack engineer,"['visual', '.Net Framework', 'c#', 'Net', '.net']"
software engineer,"['java', 'scala', 'c++', 'c', 'gin', 'python']"
software engineer,"['css', 'java', 'docker', 'js', 'Angular', 'nodejs', 'html', 'Git', 'javascript']"
summer 2020 software engineering intern,"['Go', 'java', 'interactive', 'Node.js', 'typescript', 'php', 'python']"
"software engineer, javascript and react sdks","['Go', 'React', 'java', 'node', 'ruby', 'gin', 'javascript', 'python']"
"software engineer, product","['Go', 'React', 'rails', 'redux', 'javascript', 'python']"
full stack node developer,"['React', 'interactive', 'Node.js', 'mobile', 'Git']"
backend software engineer,"['json', 'mysql', 'rest', 'sql', 'c++', 'Net', 'c', 'javascript', 'python']"
backend software engineer,"['Go', 'scala', 'typescript', 'node', 'python']"
"software engineer internship, care applications (summer 2020...","['postgresql', 'java', 'mysql', 'scala', 'aws', 'ruby', 'spark', 'python']"
"software engineer, automation - quality","['Go', 'java', 'Node.js', 'ruby', 'php', 'javascript', 'python']"
"software engineer, desktop platform","['Rust', 'c++', 'Net', 'swift', 'python']"
"software engineer, computer vision - university graduate","['caffe', 'keras', 'ai', 'Net', 'tensorflow']"
software engineer,"['java', 'ruby', 'gin', 'javascript', 'python']"
full stack engineer (backend),"['java', 'data analytics', 'c++', 'rest', 'gin', 'python']"
"software engineer, full stack (ruby/rails/js)","['mysql', 'airflow', 'gin', 'spark', 'python']"
software engineering intern (summer 2020),"['ruby', 'php', 'javascript', 'github', 'python']"
robot software engineer,"['java', 'plan', 'c++', 'algorithms', 'python']"
software engineer - capacity planning,"['Go', 'java', 'c++', 'javascript', 'python']"
software data engineer,"['java', 'docker', 'aws', 'kubernetes', 'databricks', 'sql', 'pandas', 'Git', 'gin', 'spark', 'python']"
"software engineer, full stack","['Go', 'java', 'scala', 'ai', 'c++', 'python']"
full stack developer,"['React', 'java', 'Node.js', 'Angular', 'c#', 'javascript', 'python']"
"software engineer, infrastructure","['Go', 'postgresql', 'mysql', 'ruby', 'database', 'python']"
ios software engineer,"['java', 'c#', 'c++', 'ruby', 'javascript', 'python']"
"software engineer, front end","['React', 'java', 'Kotlin', 'node', 'rest']"
associate gameplay engineer,"['scripting', 'perl', 'c++', 'c', 'gin', 'python']"
"full stack software engineer, relay","['java', 'scala', 'Node.js', 'c++', 'javascript']"
"software engineer, intern (summer 2020)","['Go', 'java', 'js', 'bigquery', 'Angular', 'python', 'database', 'javascript', 'bootstrap']"
software engineer,"['Go', 'java', 'scala', 'Object-oriented programming', 'ruby']"
software engineer,"['scripting', 'aws', 'sql', 'ai', 'ruby', 'machine learning', 'python', 'Git', 'shell']"
computer scientist ( software engineer ),"['Go', 'c++', 'ruby', 'gin', 'python']"
software engineer - language modeling (russian),"['java', 'c++', 'algorithms', 'machine learning', 'python']"
entry level java full-stack developer,"['React', 'java', 'js', 'Node.js', 'Angular', 'python']"
gis software developer,"['Go', 'aws', 'java script', 'Net', 'python']"
software engineer,"['scripting', 'postgresql', 'redis', 'ruby', 'python']"
virtual c# software engineer,"['java', 'Kotlin', 'mobile', 'c#', 'swift', 'javascript', 'python']"
software generalist – fullstack,"['postgresql', 'js', 'ai', 'ruby', 'rails', 'gin', 'javascript', 'bootstrap']"
software engineer (dnn co-design),"['ai', 'c++', 'c', 'gin', 'python']"
"modeling team - software engineer, back-end","['java', 'scala', 'Kotlin', 'ai', 'ruby']"
frontend software engineer,"['React', 'java', 'redux', 'javascript', 'python']"
"data engineer - san francisco, ca or arlington, va","['Hadoop', 'java', 'ai', 'algorithms', 'ruby', 'machine learning', 'python']"
machine learning engineer,"['Go', 'java', 'scala', 'c++', 'machine learning', 'python']"
backend engineer,"['java', 'scala', 'aws', 'GCP', 'python']"
software development engineer - revenue team,"['java', 'c++', 'ruby', 'gin', 'python']"
"software engineer, computer vision - industrial","['Go', 'c++', 'machine learning', 'c', 'python']"
software engineer - big data engineering,"['Hadoop', 'java', 'scala', 'spark', 'python']"
"software engineer, data products - doctor match","['postgresql', 'java', 'mysql', 'aws', 'spark', 'python']"
"software engineer, online sales","['css', 'java', 'node', 'html', 'php', 'javascript', 'python']"
"software engineer, full stack","['jupyter', 'React', 'docker', 'flask', 'aws', 'GCP', 'kubernetes', 'typescript', 'javascript', 'github', 'python']"
software development engineer in test,"['java', 'scala', 'typescript', 'javascript', 'python']"
software engineer - platform security engineer,"['java', 'c++', 'php', 'c', 'python']"
backend engineer,"['Go', 'aws', 'typescript', 'node', 'MLflow', 'rest', 'spark', 'python']"
software developer,"['linux', 'mysql', 'gin', 'javascript', 'python']"
infrastructure software engineer,"['Go', 'java', 'c++', 'c', 'gin']"
"hellosign lead software engineer, test","['java', 'c#', 'ruby', 'automation', 'javascript', 'python']"
software developer (telecommuter),"['java', 'js', 'html', 'rails', 'python']"
software engineer in test (swit),"['docker', 'aws', 'apache airflow', 'django', 'nodejs', 'python']"
associate professional services engineer,"['scripting', 'sql', 'pandas', 'javascript', 'python']"
software engineer - tools and infrastructure,"['java', 'docker', 'scala', 'aws', 'GCP', 'kubernetes', 'c++', 'Azure', 'c', 'python']"
ios engineer,"['plan', 'ai', 'mobile', 'ios', 'swift', 'gin']"
machine learning engineer - health ml,"['Go', 'java', 'scala', 'ply', 'ai', 'algorithms', 'c++', 'machine learning', 'c', 'python']"
"frontend engineer, identity","['scripting', 'React', 'ply', 'ai', 'gin', 'javascript']"
"software engineer, embedded systems - university graduate","['ply', 'data architecture', 'algorithms', 'gin', 'linux']"
online marketing associate - 2020 graduate,"['visual', 'ply', 'sql', 'ai', 'gin', 'database']"
web developer engineer,"['scripting', 'React', 'css', 'visual', 'plan', 'ply', 'shell', 'ai', 'django', 'html', 'Git', 'gin', 'MVC', 'javascript', 'python']"
software testing development engineer,"['scripting', 'java', 'ply', 'Object-oriented programming', 'ai', 'mobile', 'ios', 'perl', 'c++', 'ruby', 'c', 'gin', 'linux']"
"junior java backend engineer - san mateo, ca","['postgresql', 'java', 'docker', 'mysql', 'aws', 'oracle', 'data architecture', 'kubernetes', 'ai', 'algorithms', 'c++', 'gin', 'c', 'database']"
backend developer,"['java', 'perl', 'c++', 'nosql', 'python', 'shell']"
machine learning engineer,"['scripting', 'aws', 'GCP', 'pytorch', 'machine learning', 'tensorflow', 'python']"
"experienced software engineer, behavior prediction","['Go', 'data architecture', 'ai', 'algorithms', 'c++', 'machine learning', 'c', 'gin', 'tensorflow', 'python']"
software engineer summer intern - java,"['scripting', 'Hadoop', 'java', 'shell', 'rest', 'sql', 'ai', 'perl', 'c++', 'nosql', 'gin', 'c', 'database', 'prototyping', 'python']"
front-end engineer,"['Go', 'React', 'css', 'visual', 'data architecture', 'ai', 'mobile', 'ios', 'algorithms', 'machine learning', 'gin', 'redux', 'javascript']"
software engineer,"['plan', 'ply', 'aws', 'data architecture', 'ai', 'algorithms', 'c++', 'gin', 'c', 'database']"
software development engineer ii - ios,"['React', 'java', 'visual', 'Jenkins', 'ply', 'data architecture', 'objective-c', 'mobile', 'problem solving', 'ios', 'algorithms', 'swift', 'gin', 'ansible', 'automation', 'javascript']"
software engineering - frontend,"['scripting', 'React', 'ply', 'js', 'ai', 'typescript', 'mobile', 'rest', 'gin', 'redux', 'javascript', 'python']"
"software engineer, data products - doctor match","['postgresql', 'java', '.net', 'mysql', 'scala', 'ply', 'aws', 'oracle', 'ai', 'apache', 'c++', 'nosql', 'Net', 'gin', 'c', 'database', 'spark', 'python']"
"software engineer, film rendering – ray tracing","['ply', 'data architecture', 'algorithms', 'c++', 'c', 'gin']"
embedded software engineer,"['Rust', 'mobile', 'problem solving', 'c++', 'c', 'gin', 'linux', 'python']"
java software engineer,"['scripting', 'java', 'spark', 'plan', 'ply', 'aws', 'shell', 'data architecture', 'ai', 'microservices', 'algorithms', 'nosql', 'gin', 'rest', 'database', 'javascript', 'python']"
python developer,"['postgresql', 'redis', 'ai', 'django', 'Git', 'gin', 'rest', 'database', 'python']"
software engineer in test,"['Go', 'Hadoop', 'java', 'Jenkins', 'database', 'aws', 'ai', 'Google Cloud', 'automation', 'javascript', 'python']"
infrastructure software engineer,"['Go', 'java', 'plan', 'oop', 'ai', 'c++', 'c', 'gin', 'linux', 'python']"
"hellosign lead software engineer, test","['scripting', 'java', 'gin', 'json', 'plan', 'database', 'Object-oriented programming', 'sql', '.Net Framework', 'ai', 'c#', 'ruby', 'html', 'php', 'automation', 'javascript', 'python']"
growth engineer,"['scripting', 'React', 'ply', 'Node.js', 'typescript', 'ai', 'javascript']"
"software engineer, data platform","['plan', 'ply', 'sql', 'apache', 'ai', 'gin', 'database', 'spark', 'python']"
software engineer - full-stack (data products),"['scripting', 'React', 'Rust', 'Go', 'java', 'spark', 'scala', 'oop', 'ai', 'apache', 'mobile', 'algorithms', 'machine learning', 'gin', 'javascript', 'python']"
android engineer,"['Go', 'java', 'linux', 'android', 'ai', 'mobile', 'Net', 'gin', '.net']"
appd devops engineer,"['aws', 'kubernetes', 'automation', 'ansible', 'python', 'scala', 'plan', 'ply', 'perl', 'database', 'gin', 'linux', 'openstack', 'shell', 'Net', 'scripting', 'java', 'docker', 'ai']"
react engineer (front-end),"['scripting', 'React', 'css', 'visual', 'Node.js', 'mobile', 'ai', 'ios', 'html', 'MVC', 'javascript']"
full stack engineer,"['scripting', 'React', 'visual', 'Object-oriented programming', 'ai', 'ruby', 'gin', 'javascript']"
ios software engineer i,"['data architecture', 'ios', 'swift', 'android', 'ply', 'Object-oriented programming', 'objective-c', 'gin', 'linux', 'Go', 'oop', 'mobile', 'html', 'Net', 'scripting', 'java', 'ai', 'algorithms', 'javascript']"
"software engineer, computational photography","['Go', 'mobile', 'schedule', 'ios', 'c++', 'c', 'gin', 'matlab']"
software engineer - full stack,"['ruby', 'cryptography', 'Git', 'python', 'React', 'visual', 'interactive', 'Object-oriented programming', 'Node.js', 'typescript', 'django', 'machine learning', 'Go', 'mobile', 'Angular', 'scripting', 'css', 'ai', 'algorithms', 'javascript']"
front end engineer,"['scripting', 'css', 'Go', 'visual', 'ply', 'ai', 'Angular', 'html', 'Git', 'gin', 'javascript', 'github']"
full stack engineer (ruby back end),"['postgresql', 'mysql', 'js', 'data architecture', 'ruby', 'c', 'React', 'visual', 'plan', 'ply', 'oracle', 'Object-oriented programming', 'c++', 'money', 'rest', 'database', 'gin', 'xml', 'Go', 'sql', 'html', 'Net', 'scripting', 'css', 'json', 'ai', 'algorithms', 'javascript']"
software engineer ii - java,"['scripting', 'Hadoop', 'java', 'oop', 'shell', 'data architecture', 'Object-oriented programming', 'rest', 'sql', 'ai', 'perl', 'algorithms', 'c++', 'nosql', 'gin', 'c', 'database', 'python']"
software engineer - mobile/back-end,"['scripting', 'Go', 'gin', 'aws', 'data architecture', 'Object-oriented programming', 'Node.js', 'ai', 'django', 'algorithms', 'ruby', 'machine learning', 'Git', 'rest', 'database', 'javascript', 'python']"
software development engineer in test intern,"['scripting', 'React', 'css', 'visual', 'scala', 'ply', 'js', 'Node.js', 'ai', 'html', 'Git', 'automation', 'javascript', 'python']"
software engineer,"['scripting', 'Rust', 'gin', 'aws', 'redis', 'data architecture', 'algorithms', 'c++', 'Azure', 'Git', 'c', 'database', 'linux', 'shell']"
software engineer - tools and infrastructure,"['aws', 'data architecture', 'kubernetes', 'Azure', 'c', 'automation', 'python', 'scala', 'plan', 'Google Cloud', 'c++', 'database', 'gin', 'Go', 'apache', 'Net', 'spark', 'java', 'docker', 'GCP', 'ai', 'algorithms']"
software engineer - revenue data platform (revenue platform),"['Go', 'aws', 'GCP', 'sql', 'Google Cloud', 'database', 'linux']"
go engineer,"['Go', 'scala', 'oop', 'mobile', 'ios', 'gin']"
software engineer,"['kubernetes', 'Azure', 'Git', 'c', '.net', 'terraform', 'ply', 'Object-oriented programming', 'Google Cloud', 'microservices', 'c++', 'database', 'gin', 'sql', '.Net Framework', 'apache', 'schedule', 'microsoft sql', 'docker', 'ai', 'mongodb', 'c#', 'nosql']"
backend developer,"['scripting', 'Hadoop', 'java', 'plan', 'ply', 'shell', 'ai', 'perl', 'c++', 'nosql', 'gin', 'c', 'database', 'spark', 'python']"
machine learning engineer,"['aws', '.net', 'python', 'Google Cloud', 'perl', 'money', 'machine learning', 'database', 'shell', 'Go', 'schedule', 'Net', 'tensorflow', 'scripting', 'java', 'GCP', 'pytorch', 'ai', 'algorithms']"
backend developer,"['mysql', 'aws', 'redis', 'oracle', 'sql', 'c++', 'Net', 'c', 'database', 'python']"
"software engineer, backend","['Go', 'postgresql', 'scala', 'plan', 'data architecture', 'ai', 'apache', 'algorithms', 'machine learning', 'gin', 'database', 'python']"
fullstack software engineer - safety product,"['Go', 'java', 'c++', 'c', 'python']"
software engineer,"['java', 'sql', 'c#', 'database', 'javascript']"
"hellosign lead software engineer, test","['java', 'c#', 'ruby', 'gin', 'automation', 'python']"
software development engineer in test,"['java', 'c++', 'ruby', '.net', 'python']"
software engineer - back end,"['React', 'plan', 'aws', 'typescript', 'node', 'heroku']"
software engineer - back end,"['React', 'postgresql', 'plan', 'ply', 'aws', 'Node.js', 'typescript', 'ai', 'node', 'money', 'heroku', 'gin', 'database', 'javascript']"
machine learning engineer,"['Go', 'plan', 'aws', 'data architecture', 'ai', 'Google Cloud', 'algorithms', 'Net', 'machine learning', 'gin', 'database', 'tensorflow', 'python']"
software development engineer in test,"['java', 'ply', 'oop', 'data architecture', 'Object-oriented programming', 'ai', 'objective-c', 'mobile', 'ios', 'c++', 'algorithms', 'ruby', 'gin', 'c', 'automation', '.net', 'python']"
customer operations engineer,"['scripting', 'Go', 'java', 'js', 'logging']"
android engineer,"['java', 'ply', 'Kotlin', 'ai', 'mobile', 'ios', 'Net', 'Git', 'automation', 'github']"
full-stack engineer,"['scripting', 'React', 'css', 'postgresql', 'visual', 'aws', 'data architecture', 'Node.js', 'mobile', 'ai', 'algorithms', 'html', 'gin', 'database', 'javascript']"
